THBL,JALAN,TOTAL_PAKAI,TOTAL_RP,JUMLAH_PELANGGAN,HARGA_PER_M3,Latitude,Longitude
202404,RAYA ITS,10853,97462800,3,8980.263521606928,-7.2757378,112.7927519
202404,RODAH,337,1865800,8,5536.498516320475,-7.279833,112.796322
202404,RODAH BUNTU,211,807400,3,3826.5402843601896,-7.279833,112.796322
202404,RODAH GEBANG,40,44000,1,1100.0,-7.279833,112.796322
202404,RODAH GEBANG PUTIH,56,106300,4,1898.2142857142858,-7.279833,112.796322
202404,RODAH SEKOLAHAN,1203,3541600,42,2943.9733998337488,-7.279833,112.796322
202404,TEGAL MULYOREJO,960,4026700,29,4194.479166666667,-7.2750916,112.7936262
202405,ARIF RACHMAN HAKIM,7369,91904500,5,12471.773646356358,-7.288531,112.798155
202405,ASEM PAYUNG,9779,26220700,286,2681.3273340832397,-7.2862181,112.7857511
202405,BUMI MARINA EMAS,1169,7116000,34,6087.254063301967,-7.2911441,112.8020775
202405,BUMI MARINA EMAS BARAT,700,4928400,18,7040.571428571428,-7.2930141,112.8035565
202405,BUMI MARINA EMAS TIMUR,126,660800,8,5244.444444444444,-7.2911441,112.8020775
202405,DESA ASEM PAYUNG,203,1304800,1,6427.586206896552,-7.24917,112.75083
202405,GALAXY BUMI PERMAI,51,275000,2,5392.156862745098,-7.2974136,112.7859957
202405,GEBANG,301,3688500,1,12254.152823920265,-7.2886889,112.7846587
202405,GEBANG KIDUL,6548,25679400,148,3921.7165546731826,-7.2826702,112.7873836
202405,GEBANG KIDUL MAWAR,16,75000,1,4687.5,-7.279833,112.796322
202405,GEBANG KIDUL SEPUHAN,488,1712750,18,3509.7336065573772,-7.279833,112.796322
202405,GEBANG LOR,7319,27040450,175,3694.5552671129935,-7.2810659,112.7878501
202405,GEBANG LOR KANOMAN,875,2335250,25,2668.8571428571427,-7.279833,112.796322
202405,GEBANG PUTIH,3783,18168600,58,4802.696272799366,-7.2819247,112.787992
202405,GEBANG PUTIH RODAH,1136,4174700,24,3674.9119718309857,-7.279833,112.796322
202405,GEBANG RODAH MAWAR,140,640200,3,4572.857142857143,-7.279833,112.796322
202405,GEBANG RODAH SEKOLAHAN,76,491000,1,6460.526315789473,-7.279833,112.796322
202405,GEBANG WETAN,4828,19659850,137,4072.0484672742336,-7.2811196,112.7896864
202405,GEBANG WETAN RODAH SEKOLAHAN,27,132500,2,4907.407407407408,-7.279833,112.796322
202405,ITS.HIDRODINAMIKA/KEJ.PT,7,26000,1,3714.285714285714,-7.281111,112.794611
202405,ITS.ILMU PASTI ALAM,726,3155100,15,4345.8677685950415,-7.281111,112.794611
202405,ITS.KEPUTIH,844,6190300,13,7334.478672985782,-7.2826954,112.7956782
202405,ITS.TEHNIK ARSITEKTUR,1594,8283100,30,5196.424090338771,-7.281111,112.794611
202405,ITS.TEHNIK FISIKA,621,2866700,16,4616.264090177134,-7.281111,112.794611
202405,ITS.TEHNIK GEODESI,750,3468600,12,4624.8,-7.281111,112.794611
202405,ITS.TEHNIK HIDRODINAMIKA,3486,14586200,105,4184.222604704532,-7.281111,112.794611
202405,ITS.TEHNIK HIDRONIKA,10,42000,1,4200.0,-7.281111,112.794611
202405,ITS.TEHNIK HUMANIORA,578,2426400,16,4197.923875432526,-7.281111,112.794611
